employee_id,age,gender,marital_status,city,education_level,years_experience,weekly_hours,department,bonus_percentage,performance_score,overtime_hours,monthly_income,income_class
29,30.0,Male,Married,Surabaya,S1,14.0,44.6,IT,12.4,78.9,13.7,11094,High
30,33.0,Female,Married,Jakarta,SMA,16.0,38.4,Marketing,9.9,69.9,8.3,10564,High
31,30.0,Female,Single,Surabaya,S2,14.0,36.7,HR,13.7,54.9,11.1,10856,High
32,50.0,Male,Single,Bandung,SMA,20.0,34.6,IT,8.1,63.0,9.7,11998,High
33,35.0,Female,Single,Bandung,SMA,13.0,41.8,HR,10.3,72.7,8.4,10973,High
34,5.0,Male,Single,Bandung,SMA,9.0,34.8,HR,10.3,72.9,9.6,4361,Low
35,42.0,Female,Married,Bandung,S1,12.0,49.2,IT,9.9,72.6,7.4,11734,High
36,25.0,Male,Married,Bandung,S2,16.0,33.5,Sales,9.5,71.2,13.5,10243,High
37,35.0,Female,Married,Surabaya,S1,6.0,41.4,Unknown,6.2,60.2,13.9,6183,Low
38,33.0,Male,Single,Jakarta,S1,7.0,47.8,HR,10.3,66.3,4.3,9655,High
39,24.0,Other,Single,Bandung,SMA,8.0,43.0,HR,10.3,86.8,8.7,8619,Low
40,37.0,Male,Married,Bandung,S1,1.0,40.9,Sales,6.8,85.4,6.2,5434,Low
41,41.0,Male,Married,Bandung,D3,10.0,35.2,Unknown,9.9,80.8,14.0,8010,Low
42,38.5,Female,Married,Surabaya,D3,1.0,33.1,Marketing,9.9,79.9,7.6,4771,Low
43,34.0,Female,Married,Surabaya,SMA,10.0,43.9,HR,11.3,84.0,21.0,9248,High
44,33.0,Female,Married,Bandung,S1,14.0,47.5,HR,10.3,63.8,11.1,11871,High
45,23.0,Female,Married,Bandung,S1,10.0,37.8,IT,9.9,75.3,15.9,9271,High
46,29.0,Female,Divorced,Bandung,S1,18.0,34.3,Sales,9.5,63.8,4.9,11268,High
47,31.0,Male,Divorced,Bandung,D3,3.0,27.7,Finance,16.1,64.0,10.1,5184,Low
48,-5.0,Male,Divorced,Bandung,SMA,16.0,35.1,Sales,9.5,78.7,13.1,11895,High
49,38.0,Male,Married,Surabaya,S1,13.0,39.4,HR,13.6,84.5,4.8,10230,High
50,21.0,Female,Married,Bandung,SMA,1.0,48.0,HR,10.3,73.1,10.1,4205,Low
51,38.0,Male,Single,Bandung,S1,10.0,43.4,Marketing,9.9,91.5,9.6,16112,High
52,32.0,Male,Married,Bandung,S1,10.0,41.5,Sales,13.9,77.1,8.4,8334,Low
53,30.0,Female,Single,Surabaya,SMA,6.0,38.0,Finance,10.8,67.2,5.7,7987,Low
54,105.0,Male,Single,Bandung,S2,3.0,37.1,Marketing,8.3,64.1,19.0,5300,Low
55,43.0,Male,Married,Surabaya,S1,9.0,40.4,Finance,13.3,85.2,4.1,8526,Low
56,42.0,Female,Married,Jakarta,SMA,9.0,41.0,Marketing,13.4,76.3,10.8,7163,Low
57,28.0,Male,Married,Surabaya,S1,11.0,29.5,Sales,13.3,81.8,6.5,7986,Low
58,33.0,Female,Single,Bandung,SMA,10.0,36.6,HR,10.1,48.4,5.3,9399,High
59,38.0,Male,Married,Surabaya,S1,13.0,35.7,Finance,7.9,77.4,13.7,10182,High
60,43.0,Male,Divorced,Bandung,S1,8.0,37.3,Sales,9.5,69.9,9.0,7547,Low
61,31.0,Female,Married,Surabaya,S2,0.0,42.8,Finance,9.8,61.1,12.0,5980,Low
62,34.0,Male,Married,Surabaya,S1,9.0,39.5,Sales,13.1,74.4,1.3,8032,Low
63,5.0,Male,Married,Jakarta,D3,2.0,39.6,Marketing,9.9,85.9,12.5,4153,Low
64,25.0,Female,Divorced,Surabaya,S1,10.0,46.6,Sales,9.5,97.7,6.4,11061,High
65,42.0,Male,Single,Jakarta,SMA,5.0,36.5,Marketing,9.9,77.4,0.6,6571,Low
66,46.0,Male,Single,Jakarta,S1,10.0,49.3,HR,10.3,67.9,19.4,9845,High
67,34.0,Male,Single,Surabaya,S1,17.0,36.6,Marketing,7.7,67.3,13.0,11367,High
68,43.0,Female,Married,Surabaya,SMA,5.0,40.4,Unknown,12.4,84.6,11.1,7992,Low
69,38.0,Male,Single,Surabaya,D3,15.0,38.6,HR,6.6,65.0,16.2,10926,High
70,30.0,Female,Married,Jakarta,S1,8.0,40.6,Sales,13.1,81.2,11.2,6610,Low
71,38.0,Male,Single,Bandung,S1,19.0,42.2,Sales,9.5,77.9,6.0,13915,High
72,47.0,Male,Single,Bandung,SMA,8.0,42.2,IT,7.7,76.8,9.1,9112,High
73,35.0,Female,Single,Jakarta,SMA,6.0,36.2,Sales,9.5,59.3,6.6,6433,Low
74,48.0,Male,Divorced,Jakarta,SMA,13.0,34.4,HR,8.2,71.4,9.6,10476,High
75,14.0,Male,Married,Surabaya,S1,8.0,52.5,HR,10.3,60.4,3.7,8204,Low
76,42.0,Female,Single,Surabaya,SMA,6.0,37.6,Marketing,9.2,69.1,5.1,7386,Low
77,36.0,Other,Single,Bandung,S1,8.0,43.5,Finance,4.8,84.2,14.5,7394,Low
78,33.0,Male,Married,Bandung,SMA,10.0,32.0,Sales,7.1,87.3,11.7,8501,Low
79,32.0,Male,Married,Bandung,S1,17.0,38.6,IT,8.7,77.1,7.5,13128,High
80,19.0,Male,Married,Surabaya,D3,0.0,39.4,Unknown,14.1,69.3,4.9,4035,Low
81,33.0,Female,Divorced,Surabaya,S1,10.0,42.4,HR,10.3,90.9,8.0,8001,Low
82,38.0,Female,Married,Jakarta,SMA,13.0,26.4,HR,14.9,69.2,1.6,7947,Low
83,47.0,Female,Divorced,Surabaya,S1,11.0,40.8,Finance,9.8,63.6,10.6,11176,High
84,31.0,Male,Single,Bandung,SMA,17.0,34.3,Finance,8.4,82.0,14.7,11157,High
85,29.0,Male,Married,Jakarta,S1,10.0,41.6,Sales,9.5,79.6,21.8,9927,High
86,31.0,Male,Married,Surabaya,S1,9.0,34.8,IT,8.8,69.6,4.5,8100,Low
87,42.0,Male,Single,Bandung,SMA,13.0,35.7,Finance,8.0,76.0,14.5,9068,Low
88,38.0,Female,Single,Surabaya,S1,10.0,38.6,Marketing,4.5,79.4,6.5,8330,Low
89,31.0,Male,Married,Jakarta,S1,8.0,34.7,Finance,10.0,77.0,4.4,9174,High
90,32.0,Female,Single,Surabaya,SMA,13.0,37.6,HR,6.1,79.6,4.4,13752,High
91,36.0,Female,Married,Bandung,D3,7.0,34.0,IT,9.9,69.9,9.95,6586,Low
92,43.0,Male,Married,Jakarta,SMA,7.0,30.8,Sales,9.5,80.3,5.3,6197,Low
93,37.0,Female,Single,Bandung,S1,7.0,45.1,Finance,9.8,75.2,9.850000000000001,6371,Low
94,32.0,Male,Single,Jakarta,S1,17.0,39.8,HR,10.6,70.3,7.8,10202,High
95,32.0,Male,Divorced,Surabaya,SMA,6.0,39.1,Marketing,12.7,72.5,6.3,6053,Low
96,23.0,Male,Single,Surabaya,S1,12.0,43.8,Marketing,10.8,74.0,5.9,9931,High
97,37.0,Male,Single,Bandung,S1,10.0,36.9,Sales,9.5,60.5,2.1,8667,Low
98,37.0,Male,Single,Surabaya,S2,2.0,39.8,Sales,8.9,68.6,10.4,5278,Low
99,35.0,Female,Divorced,Jakarta,S1,12.0,41.1,Finance,9.3,75.6,10.3,10334,High
100,33.0,Female,Married,Surabaya,S2,12.0,45.6,Unknown,9.9,61.5,6.0,11266,High
101,24.0,Male,Married,Surabaya,S1,13.0,34.2,HR,12.5,68.8,11.8,9301,High
102,32.0,Female,Single,Surabaya,D3,3.0,39.2,HR,4.8,98.8,17.0,5354,Low
103,32.0,Female,Married,Surabaya,S1,17.0,31.3,HR,10.3,63.7,10.1,11270,High
104,29.0,Female,Single,Surabaya,D3,6.0,38.0,Finance,5.8,71.2,16.7,5537,Low
105,34.0,Male,Married,Surabaya,D3,13.0,40.2,Finance,12.9,66.7,21.2,8543,Low
106,38.0,Male,Single,Surabaya,D3,10.0,35.7,Sales,8.9,73.8,9.9,9904,High
107,50.0,Female,Married,Surabaya,S1,6.0,37.7,Finance,6.3,66.9,4.1,4291,Low
108,36.0,Female,Married,Bandung,S1,13.0,33.0,HR,11.7,72.6,4.1,8663,Low
109,37.0,Male,Single,Bandung,D3,8.0,40.4,IT,12.8,67.8,7.8,8584,Low
110,34.0,Female,Divorced,Surabaya,D3,0.0,45.3,HR,10.3,85.6,9.1,4708,Low
111,34.0,Male,Single,Bandung,D3,16.0,34.5,IT,12.2,75.8,17.9,11473,High
112,35.0,Female,Single,Surabaya,S1,6.0,36.9,Sales,3.1,65.0,13.1,7869,Low
113,35.0,Male,Married,Surabaya,SMA,6.0,42.5,Marketing,9.9,83.4,4.0,6523,Low
114,55.0,Female,Single,Surabaya,S1,8.0,46.1,Finance,9.8,65.4,15.0,9288,High
115,33.0,Female,Single,Bandung,D3,11.0,32.5,Finance,9.3,59.4,9.8,7946,Low
116,37.0,Male,Married,Jakarta,D3,10.0,39.2,HR,4.4,75.0,2.6,9193,High
117,35.0,Male,Single,Surabaya,SMA,13.0,41.4,HR,10.3,94.1,10.1,10795,High
118,26.0,Female,Divorced,Surabaya,SMA,3.0,39.5,IT,7.2,56.7,4.1,5656,Low
119,44.0,Female,Single,Jakarta,S2,6.0,27.6,Finance,9.5,61.7,1.7,5375,Low
120,41.0,Female,Single,Bandung,D3,9.0,42.5,Sales,9.5,82.5,5.3,9070,Low
121,41.0,Female,Married,Jakarta,SMA,19.0,47.6,HR,10.5,68.6,12.1,14657,High
122,28.0,Female,Single,Surabaya,D3,9.0,40.6,Finance,9.8,81.1,12.0,7128,Low
123,46.0,Male,Divorced,Jakarta,D3,15.0,34.8,Marketing,9.9,66.6,10.5,11833,High
124,24.0,Female,Single,Surabaya,SMA,10.0,37.4,IT,9.9,76.4,15.0,7508,Low
125,40.0,Male,Single,Bandung,D3,8.0,48.8,HR,11.4,92.4,10.2,8008,Low
126,53.0,Male,Single,Bandung,S1,9.0,44.5,HR,10.3,63.1,9.6,9197,High
127,27.0,Female,Single,Bandung,S1,9.0,43.2,Sales,9.5,85.2,10.3,9418,High
128,30.0,Other,Married,Surabaya,D3,13.0,41.8,Unknown,9.9,81.8,10.6,10898,High
129,36.0,Male,Single,Bandung,D3,17.0,36.7,Finance,13.6,60.1,9.3,12495,High
130,31.0,Male,Married,Jakarta,S2,12.0,39.0,Finance,10.4,80.6,0.9,8763,Low
131,23.0,Female,Single,Bandung,D3,16.0,39.6,Finance,10.4,75.7,15.7,11437,High
132,36.0,Male,Single,Surabaya,SMA,5.0,42.7,Marketing,8.1,75.9,12.0,4724,Low
133,27.0,Other,Single,Jakarta,SMA,8.0,47.5,Marketing,8.1,78.4,3.9,7836,Low
134,39.0,Female,Married,Jakarta,D3,6.0,45.6,HR,10.3,71.5,17.1,6218,Low
135,28.0,Female,Single,Jakarta,S1,12.0,32.9,Marketing,9.9,75.7,7.1,9304,High
136,47.0,Male,Single,Jakarta,SMA,8.0,41.1,Marketing,12.4,77.4,10.2,10468,High
137,29.0,Male,Married,Surabaya,S1,14.0,43.7,Unknown,9.9,82.5,15.1,12129,High
138,32.0,Female,Single,Bandung,SMA,5.0,43.1,Marketing,11.7,59.7,11.1,4565,Low
139,42.0,Male,Single,Jakarta,D3,10.0,40.45,IT,9.9,87.9,16.7,7168,Low
140,25.0,Female,Single,Bandung,S1,13.0,54.6,IT,9.5,63.4,8.2,10658,High
141,37.0,Male,Single,Bandung,D3,0.0,33.6,IT,13.6,82.6,18.5,1606,Low
142,45.0,Male,Married,Bandung,S1,21.0,34.6,HR,8.9,75.8,6.1,13676,High
143,22.0,Female,Single,Bandung,SMA,9.0,41.2,Finance,11.1,62.2,16.6,8846,Low
144,36.0,Female,Married,Surabaya,S1,0.0,50.6,Sales,7.6,80.3,1.3,3765,Low
145,37.0,Male,Married,Jakarta,SMA,11.0,35.8,Unknown,8.0,65.5,4.5,8859,Low
146,41.0,Female,Divorced,Jakarta,S1,10.0,38.7,Finance,9.3,85.7,11.5,9087,Low
147,25.0,Female,Single,Bandung,SMA,10.0,45.4,Unknown,7.6,67.9,8.0,10238,High
148,24.0,Female,Married,Jakarta,S1,15.0,39.9,Sales,9.5,60.1,9.6,11647,High
149,39.0,Male,Single,Bandung,D3,14.0,38.3,Sales,6.0,90.3,10.2,11163,High
150,37.0,Male,Married,Surabaya,S1,11.0,40.45,IT,10.3,76.8,4.0,9745,High
151,37.0,Female,Married,Jakarta,D3,12.0,41.4,IT,10.4,83.7,4.4,9122,High
152,38.0,Male,Single,Bandung,S2,9.0,45.2,IT,4.6,66.5,11.2,8220,Low
153,30.0,Male,Married,Jakarta,SMA,19.0,46.5,Sales,8.7,56.1,6.7,12823,High
154,37.0,Male,Married,Bandung,SMA,3.0,41.5,Sales,10.8,91.8,16.7,7152,Low
155,37.0,Male,Single,Jakarta,D3,11.0,41.5,IT,11.3,74.9,9.0,8177,Low
156,29.0,Female,Single,Surabaya,SMA,10.0,41.1,Sales,9.5,79.9,13.6,10059,High
157,50.0,Male,Single,Jakarta,SMA,14.0,40.0,Unknown,12.0,81.6,12.2,9785,High
158,39.0,Male,Single,Surabaya,S2,6.0,40.3,IT,9.9,71.6,7.0,7795,Low
159,25.0,Female,Single,Surabaya,S2,1.0,40.0,IT,9.9,77.3,0.1,5472,Low
160,40.0,Female,Married,Bandung,D3,11.0,46.0,Finance,10.8,90.9,10.7,11250,High
161,27.0,Male,Single,Bandung,S2,11.0,47.6,Sales,12.8,74.7,5.1,9217,High
162,41.0,Female,Single,Jakarta,S1,17.0,32.5,HR,10.3,84.4,8.0,11911,High
163,44.0,Male,Married,Surabaya,SMA,4.0,40.1,IT,8.5,55.1,9.2,5404,Low
164,28.0,Male,Married,Bandung,S1,16.0,36.6,HR,10.3,86.2,9.7,10769,High
165,43.0,Female,Divorced,Surabaya,S1,22.0,38.4,Finance,9.0,59.8,14.8,148880,High
166,38.0,Female,Married,Surabaya,S2,8.0,42.0,Sales,14.3,85.1,10.0,9015,Low
167,42.0,Female,Married,Surabaya,SMA,4.0,43.3,IT,9.9,78.9,9.4,5740,Low
168,50.0,Female,Single,Jakarta,S1,8.0,39.4,IT,6.6,74.0,15.1,8273,Low
169,31.5,Female,Married,Surabaya,SMA,10.0,30.4,IT,8.2,74.0,13.0,7136,Low
170,34.0,Other,Married,Surabaya,SMA,13.0,35.2,HR,10.3,72.5,6.3,8974,Low
171,28.0,Female,Married,Jakarta,SMA,7.0,44.5,Finance,7.3,66.8,4.3,7624,Low
172,28.0,Female,Single,Jakarta,S2,18.0,26.3,Sales,9.5,72.9,5.9,11365,High
173,34.0,Female,Married,Bandung,S1,4.0,45.9,Finance,9.8,97.1,9.8,7261,Low
174,38.0,Male,Married,Surabaya,S1,1.0,42.6,IT,8.2,88.0,3.8,3509,Low
175,37.0,Male,Single,Surabaya,S1,16.0,46.6,Finance,12.9,66.3,10.5,14817,High
176,42.0,Male,Married,Jakarta,D3,1.0,39.0,HR,13.8,77.7,9.4,2608,Low
177,35.0,Female,Single,Jakarta,SMA,9.0,29.7,Marketing,7.8,76.0,2.7,7697,Low
178,47.0,Female,Married,Bandung,SMA,26.0,42.2,Marketing,7.3,73.6,10.2,16930,High
179,33.0,Female,Married,Jakarta,D3,10.0,46.4,Sales,9.2,65.0,4.4,8989,Low
180,57.0,Male,Single,Jakarta,S1,4.0,44.6,Sales,6.7,79.5,8.3,6287,Low
181,40.0,Male,Married,Jakarta,S1,10.0,36.7,Finance,10.4,83.5,15.4,9341,High
182,28.0,Male,Married,Jakarta,SMA,10.0,40.4,Sales,9.5,66.7,0.5,9871,High
183,26.0,Female,Single,Bandung,SMA,11.0,37.3,HR,11.1,94.6,3.4,9016,Low
184,39.0,Female,Single,Surabaya,SMA,13.0,35.9,IT,9.9,90.2,9.2,10422,High
185,33.0,Female,Married,Surabaya,D3,5.0,44.8,IT,12.5,80.5,4.7,5647,Low
186,41.0,Male,Married,Surabaya,S2,18.0,34.0,Finance,11.5,62.7,4.7,12217,High
187,39.0,Male,Married,Surabaya,S1,10.0,35.5,IT,9.9,79.0,12.7,9447,High
188,34.0,Male,Married,Surabaya,S1,14.0,34.5,Finance,9.8,77.8,7.5,8165,Low
189,28.0,Male,Divorced,Jakarta,D3,7.0,40.0,Unknown,9.9,80.1,2.6,6836,Low
190,23.0,Female,Married,Surabaya,D3,16.0,40.7,Sales,1.0,90.9,11.75,11905,High
191,31.0,Male,Single,Jakarta,SMA,9.0,45.8,HR,12.1,73.2,21.0,10351,High
192,42.0,Female,Married,Surabaya,S1,11.0,39.1,IT,9.9,95.5,9.95,9575,High
193,37.0,Female,Married,Surabaya,S1,5.0,32.5,Unknown,7.5,79.1,7.7,6227,Low
194,25.0,Male,Married,Jakarta,SMA,5.0,44.2,Marketing,9.9,72.1,9.850000000000001,6648,Low
195,36.0,Male,Single,Surabaya,S1,10.0,48.4,HR,15.1,99.0,7.6,11975,High
196,38.0,Other,Married,Jakarta,D3,8.0,36.8,Unknown,12.3,83.3,12.6,8239,Low
197,28.0,Male,Married,Bandung,S1,6.0,37.6,Finance,8.9,70.5,9.5,5454,Low
198,36.0,Female,Married,Bandung,S2,7.0,42.6,HR,10.3,75.8,7.3,8069,Low
199,35.0,Male,Single,Bandung,S1,13.0,48.1,Sales,9.5,81.4,12.3,12493,High
200,26.0,Female,Married,Surabaya,S1,7.0,37.4,Marketing,12.6,73.5,17.3,8224,Low
201,38.0,Male,Married,Surabaya,SMA,9.0,33.3,HR,10.3,76.3,13.7,7861,Low
202,92.0,Female,Married,Surabaya,SMA,10.0,43.2,Sales,9.1,66.8,16.2,9637,High
203,44.0,Female,Single,Surabaya,SMA,0.0,44.0,HR,18.5,58.1,8.4,5314,Low
204,43.0,Male,Married,Jakarta,SMA,3.0,40.0,IT,9.9,76.1,6.9,4364,Low
205,24.0,Male,Divorced,Bandung,S1,12.0,37.2,Unknown,13.5,76.4,0.3,10195,High
206,27.0,Female,Divorced,Jakarta,S1,6.0,45.0,IT,9.9,80.3,10.4,5526,Low
207,39.0,Male,Divorced,Bandung,SMA,15.0,42.6,IT,9.9,69.2,11.9,12626,High
208,39.0,Female,Single,Bandung,S1,15.0,36.2,Marketing,10.2,61.6,8.5,10731,High
209,39.0,Female,Married,Jakarta,SMA,14.0,40.2,Sales,7.0,65.3,6.1,10938,High
210,66.0,Male,Single,Jakarta,D3,19.0,33.2,Unknown,14.8,85.6,16.2,12269,High
211,40.0,Male,Single,Jakarta,SMA,10.0,43.4,IT,14.2,68.3,13.2,9302,High
212,44.0,Male,Single,Bandung,D3,13.0,38.7,Finance,8.4,70.6,16.6,10624,High
213,33.0,Female,Married,Jakarta,SMA,7.0,37.8,Sales,9.5,71.9,5.2,8036,Low
214,40.0,Female,Married,Surabaya,D3,22.0,39.8,HR,10.0,68.8,6.5,16283,High
215,32.0,Female,Married,Jakarta,D3,20.0,40.2,IT,17.8,68.1,16.0,14069,High
216,41.0,Female,Married,Bandung,S2,10.0,44.5,Sales,10.4,66.3,9.8,7786,Low
217,29.0,Female,Single,Bandung,SMA,12.0,43.0,Finance,9.8,89.0,7.2,11601,High
218,33.0,Male,Married,Jakarta,SMA,17.0,39.2,Sales,9.5,81.8,7.5,10950,High
219,31.0,Female,Single,Jakarta,SMA,9.0,43.8,HR,10.3,87.5,9.9,8460,Low
220,36.0,Male,Married,Bandung,S1,7.0,42.0,Sales,9.5,89.5,15.0,7210,Low
221,54.0,Male,Married,Bandung,SMA,14.0,37.9,Finance,9.8,51.5,9.2,10798,High
222,20.0,Female,Married,Jakarta,S1,10.0,40.0,IT,9.9,78.4,14.0,7674,Low
223,40.0,Female,Divorced,Surabaya,S1,11.0,39.3,IT,7.6,69.1,12.3,8114,Low
224,22.0,Male,Single,Surabaya,S1,6.0,42.5,Marketing,10.5,86.2,5.6,7231,Low
225,31.0,Female,Single,Surabaya,S1,1.0,38.2,Finance,6.7,67.6,5.6,3519,Low
226,44.0,Male,Married,Bandung,SMA,11.0,38.0,Marketing,4.7,64.5,7.7,10651,High
227,36.0,Female,Married,Surabaya,SMA,15.0,49.8,Marketing,10.2,60.7,3.3,11933,High
228,26.0,Male,Married,Surabaya,D3,9.0,44.7,HR,13.8,72.0,7.4,7942,Low
229,38.0,Male,Single,Jakarta,S1,17.0,36.2,Finance,9.8,84.1,17.6,13792,High
230,40.0,Female,Married,Jakarta,SMA,6.0,42.9,IT,9.8,77.6,9.8,7755,Low
231,35.0,Female,Single,Surabaya,SMA,5.0,40.6,Finance,9.8,63.0,6.2,9276,High
232,37.0,Female,Single,Bandung,S2,10.0,42.0,HR,8.3,96.5,19.6,7273,Low
233,35.0,Female,Single,Surabaya,SMA,10.0,40.7,Unknown,4.2,81.5,5.3,9276,High
234,30.0,Female,Divorced,Jakarta,S1,10.0,45.9,Finance,3.5,82.8,5.2,12080,High
235,52.0,Female,Single,Jakarta,S1,6.0,41.7,Marketing,6.5,87.9,16.1,7201,Low
236,40.0,Female,Married,Jakarta,SMA,17.0,39.7,Finance,9.8,58.6,13.3,12107,High
237,19.0,Female,Single,Surabaya,SMA,20.0,45.2,Marketing,8.1,65.9,9.3,15767,High
238,36.0,Female,Married,Bandung,SMA,10.0,41.2,Marketing,9.9,83.2,14.2,9583,High
239,30.0,Male,Divorced,Surabaya,S1,16.0,40.6,Unknown,14.9,66.9,11.5,10371,High
240,42.0,Female,Single,Jakarta,S1,5.0,41.6,HR,6.7,72.2,4.1,5788,Low
241,29.0,Female,Married,Jakarta,S1,15.0,39.5,Marketing,11.4,74.2,2.0,10289,High
242,34.0,Male,Divorced,Jakarta,S2,15.0,40.0,Finance,11.6,62.2,7.2,11383,High
243,39.0,Female,Married,Jakarta,S1,14.0,37.1,Marketing,7.4,71.4,15.4,11656,High
244,42.0,Male,Single,Surabaya,SMA,10.0,36.2,Marketing,14.1,84.1,7.9,8245,Low
245,25.0,Male,Married,Surabaya,SMA,5.0,35.0,Marketing,9.1,82.3,12.3,5748,Low
246,32.0,Female,Married,Bandung,S1,7.0,33.0,IT,8.8,86.1,10.9,5825,Low
247,31.0,Male,Divorced,Jakarta,SMA,7.0,35.6,IT,16.3,85.1,1.5,7821,Low
248,30.0,Female,Married,Surabaya,SMA,5.0,39.1,IT,11.6,79.1,8.0,7646,Low
249,49.0,Male,Married,Surabaya,S1,11.0,40.5,IT,12.8,78.3,11.8,9519,High
250,38.0,Female,Married,Jakarta,D3,8.0,38.6,Sales,14.1,77.5,6.1,9444,High
251,25.0,Male,Married,Surabaya,S2,6.0,28.2,Marketing,9.9,68.7,8.2,5278,Low
252,42.0,Male,Single,Jakarta,S1,5.0,47.9,Sales,13.7,64.7,12.0,5890,Low
253,52.0,Female,Married,Bandung,SMA,6.0,45.4,Finance,9.8,68.1,10.4,8348,Low
254,43.0,Male,Married,Jakarta,S2,16.0,42.2,HR,10.3,71.7,15.2,12127,High
255,23.0,Male,Married,Jakarta,SMA,7.0,49.5,Sales,9.2,68.4,11.9,7873,Low
256,31.0,Male,Married,Surabaya,D3,7.0,35.1,IT,8.1,79.1,5.2,7088,Low
257,45.0,Male,Single,Bandung,D3,8.0,49.4,IT,12.5,77.0,7.6,7359,Low
258,29.0,Male,Single,Bandung,SMA,12.0,35.2,Finance,9.8,78.1,10.1,7769,Low
259,39.0,Male,Single,Surabaya,D3,12.0,41.2,Unknown,8.5,78.5,16.7,10212,High
260,41.0,Female,Single,Bandung,SMA,5.0,40.6,HR,10.3,87.0,10.2,6297,Low
261,28.0,Female,Married,Bandung,D3,15.0,40.1,Sales,9.2,74.9,1.3,12901,High
262,35.0,Female,Divorced,Jakarta,D3,10.0,41.9,Marketing,9.0,85.1,12.2,13580,High
263,9.0,Female,Married,Surabaya,S1,5.0,39.2,Marketing,9.9,80.2,6.2,7058,Low
264,27.0,Male,Single,Bandung,S1,5.0,43.6,Sales,11.4,86.3,3.6,8127,Low
265,33.0,Female,Single,Bandung,SMA,8.0,40.5,Sales,9.5,91.1,10.1,8539,Low
266,25.0,Male,Married,Bandung,D3,10.0,37.4,Sales,8.9,80.8,14.9,6395,Low
267,48.0,Other,Single,Jakarta,D3,11.0,37.2,Sales,12.5,76.0,7.1,10129,High
268,24.0,Male,Married,Jakarta,SMA,0.0,44.1,IT,9.9,76.0,12.05,5281,Low
269,31.0,Female,Single,Surabaya,S1,4.0,36.7,Marketing,8.0,70.3,13.4,5665,Low
270,36.0,Female,Single,Surabaya,S1,18.0,40.4,Marketing,5.6,70.0,14.0,12258,High
271,47.0,Male,Married,Jakarta,SMA,5.0,46.1,IT,12.9,84.0,6.3,5326,Low
272,24.0,Other,Married,Surabaya,D3,16.0,31.7,Marketing,9.9,65.4,4.4,12008,High
273,44.0,Male,Single,Surabaya,SMA,12.0,45.7,Sales,10.6,91.1,5.1,11045,High
